ts:2018-12-13 13:47:03; id:0x00000381; DLC:8; data:[0xB4,0x01,0x91,0x00,0xC8,0x00,0xA4,0x01]
ts:2018-12-13 13:48:45; id:0x00000201; DLC:8; data:[0xCC,0x40,0x43,0x02,0x2E,0x00,0xFC,0x00]
ts:2018-12-13 13:50:13; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB6,0x01]
ts:2018-12-13 13:51:51; id:0x00000281; DLC:8; data:[0xFB,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:52:11; id:0x00000381; DLC:8; data:[0xB3,0x01,0x91,0x00,0xC8,0x00,0xA5,0x01]
ts:2018-12-13 13:53:53; id:0x00000201; DLC:8; data:[0xCD,0x40,0x42,0x02,0x2B,0x00,0xFB,0x00]
ts:2018-12-13 13:55:21; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB5,0x01]
ts:2018-12-13 13:56:59; id:0x00000281; DLC:8; data:[0xFC,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 13:57:19; id:0x00000381; DLC:8; data:[0xB2,0x01,0x90,0x00,0xC7,0x00,0xA5,0x01]
ts:2018-12-13 13:59:01; id:0x00000201; DLC:8; data:[0xCD,0x40,0x42,0x02,0x27,0x00,0xFD,0x00]
ts:2018-12-13 14:00:29; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB5,0x01]
ts:2018-12-13 14:02:07; id:0x00000281; DLC:8; data:[0xFB,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:02:27; id:0x00000381; DLC:8; data:[0xB2,0x01,0x90,0x00,0xC8,0x00,0xA4,0x01]
ts:2018-12-13 14:04:09; id:0x00000201; DLC:8; data:[0xCD,0x40,0x42,0x02,0x25,0x00,0xFC,0x00]
ts:2018-12-13 14:05:37; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB5,0x01]
ts:2018-12-13 14:07:15; id:0x00000281; DLC:8; data:[0xFC,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:07:35; id:0x00000381; DLC:8; data:[0xB1,0x01,0x8F,0x00,0xC7,0x00,0xA4,0x01]
ts:2018-12-13 14:09:17; id:0x00000201; DLC:8; data:[0xCD,0x40,0x42,0x02,0x22,0x00,0xFC,0x00]
ts:2018-12-13 14:10:46; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB5,0x01]
ts:2018-12-13 14:12:23; id:0x00000281; DLC:8; data:[0xFB,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:12:44; id:0x00000381; DLC:8; data:[0xB0,0x01,0x8F,0x00,0xC7,0x00,0xA3,0x01]
ts:2018-12-13 14:14:25; id:0x00000201; DLC:8; data:[0xCD,0x40,0x41,0x02,0x21,0x00,0xFD,0x00]
ts:2018-12-13 14:15:54; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB4,0x01]
ts:2018-12-13 14:17:31; id:0x00000281; DLC:8; data:[0xFC,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:17:52; id:0x00000381; DLC:8; data:[0xB0,0x01,0x8F,0x00,0xC7,0x00,0xA2,0x01]
ts:2018-12-13 14:19:33; id:0x00000201; DLC:8; data:[0xCD,0x40,0x40,0x02,0x20,0x00,0xFA,0x00]
ts:2018-12-13 14:21:02; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB4,0x01]
ts:2018-12-13 14:22:39; id:0x00000281; DLC:8; data:[0xFB,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:23:00; id:0x00000381; DLC:8; data:[0xAF,0x01,0x8E,0x00,0xC7,0x00,0xA2,0x01]
ts:2018-12-13 14:24:41; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3F,0x02,0x1F,0x00,0xFC,0x00]
ts:2018-12-13 14:26:10; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB4,0x01]
ts:2018-12-13 14:27:47; id:0x00000281; DLC:8; data:[0xFA,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:28:08; id:0x00000381; DLC:8; data:[0xAE,0x01,0x8D,0x00,0xC7,0x00,0xA1,0x01]
ts:2018-12-13 14:29:50; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3F,0x02,0x21,0x00,0xFA,0x00]
ts:2018-12-13 14:31:18; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB3,0x01]
ts:2018-12-13 14:32:55; id:0x00000281; DLC:8; data:[0xFB,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:33:16; id:0x00000381; DLC:8; data:[0xAE,0x01,0x8D,0x00,0xC7,0x00,0xA0,0x01]
ts:2018-12-13 14:34:58; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3E,0x02,0x21,0x00,0xFB,0x00]
ts:2018-12-13 14:36:26; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB2,0x01]
ts:2018-12-13 14:38:03; id:0x00000281; DLC:8; data:[0xFA,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:38:24; id:0x00000381; DLC:8; data:[0xAD,0x01,0x8D,0x00,0xC6,0x00,0xA0,0x01]
ts:2018-12-13 14:40:06; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3E,0x02,0x1E,0x00,0xFC,0x00]
ts:2018-12-13 14:41:34; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB2,0x01]
ts:2018-12-13 14:43:11; id:0x00000281; DLC:8; data:[0xF9,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:43:32; id:0x00000381; DLC:8; data:[0xAC,0x01,0x8C,0x00,0xC6,0x00,0xA0,0x01]
ts:2018-12-13 14:45:14; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3E,0x02,0x1C,0x00,0xFC,0x00]
ts:2018-12-13 14:46:42; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF4,0xFF,0xB2,0x01]
ts:2018-12-13 14:48:19; id:0x00000281; DLC:8; data:[0xF9,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:48:40; id:0x00000381; DLC:8; data:[0xAB,0x01,0x8C,0x00,0xC6,0x00,0x9F,0x01]
ts:2018-12-13 14:50:22; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3E,0x02,0x1A,0x00,0xFB,0x00]
ts:2018-12-13 14:51:50; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB1,0x01]
ts:2018-12-13 14:53:27; id:0x00000281; DLC:8; data:[0xF9,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:53:48; id:0x00000381; DLC:8; data:[0xAB,0x01,0x8C,0x00,0xC6,0x00,0x9F,0x01]
ts:2018-12-13 14:55:30; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3E,0x02,0x17,0x00,0xFB,0x00]
ts:2018-12-13 14:56:58; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB0,0x01]
ts:2018-12-13 14:58:35; id:0x00000281; DLC:8; data:[0xF9,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 14:58:56; id:0x00000381; DLC:8; data:[0xAB,0x01,0x8C,0x00,0xC5,0x00,0x9C,0x01]
ts:2018-12-13 15:00:37; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3D,0x02,0x15,0x00,0xFA,0x00]
ts:2018-12-13 15:02:06; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB0,0x01]
ts:2018-12-13 15:03:43; id:0x00000281; DLC:8; data:[0xF8,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:04:04; id:0x00000381; DLC:8; data:[0xAB,0x01,0x8C,0x00,0xC5,0x00,0x9D,0x01]
ts:2018-12-13 15:05:45; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3D,0x02,0x14,0x00,0xF9,0x00]
ts:2018-12-13 15:07:13; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xB0,0x01]
ts:2018-12-13 15:08:51; id:0x00000281; DLC:8; data:[0xF8,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:09:12; id:0x00000381; DLC:8; data:[0xA9,0x01,0x8B,0x00,0xC5,0x00,0x9B,0x01]
ts:2018-12-13 15:10:53; id:0x00000201; DLC:8; data:[0xCC,0x40,0x3C,0x02,0x14,0x00,0xF8,0x00]
ts:2018-12-13 15:12:21; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xAF,0x01]
ts:2018-12-13 15:13:59; id:0x00000281; DLC:8; data:[0xF8,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:14:19; id:0x00000381; DLC:8; data:[0xAA,0x01,0x8B,0x00,0xC5,0x00,0x9B,0x01]
ts:2018-12-13 15:16:01; id:0x00000201; DLC:8; data:[0xCC,0x40,0x3D,0x02,0x14,0x00,0xF8,0x00]
ts:2018-12-13 15:17:29; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xAF,0x01]
ts:2018-12-13 15:19:07; id:0x00000281; DLC:8; data:[0xF7,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:19:27; id:0x00000381; DLC:8; data:[0xA9,0x01,0x8A,0x00,0xC4,0x00,0x99,0x01]
ts:2018-12-13 15:21:09; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3B,0x02,0x13,0x00,0xF8,0x00]
ts:2018-12-13 15:22:37; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF3,0xFF,0xAE,0x01]
ts:2018-12-13 15:24:15; id:0x00000281; DLC:8; data:[0xF7,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:24:35; id:0x00000381; DLC:8; data:[0xA8,0x01,0x89,0x00,0xC4,0x00,0x9A,0x01]
ts:2018-12-13 15:26:17; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3C,0x02,0x12,0x00,0xF8,0x00]
ts:2018-12-13 15:27:45; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF2,0xFF,0xAD,0x01]
ts:2018-12-13 15:29:22; id:0x00000281; DLC:8; data:[0xF5,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:29:43; id:0x00000381; DLC:8; data:[0xA7,0x01,0x89,0x00,0xC4,0x00,0x98,0x01]
ts:2018-12-13 15:31:25; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3A,0x02,0x10,0x00,0xF7,0x00]
ts:2018-12-13 15:32:53; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF2,0xFF,0xAC,0x01]
ts:2018-12-13 15:34:30; id:0x00000281; DLC:8; data:[0xF7,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:34:51; id:0x00000381; DLC:8; data:[0xA6,0x01,0x89,0x00,0xC4,0x00,0x98,0x01]
ts:2018-12-13 15:36:33; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3A,0x02,0x0E,0x00,0xF6,0x00]
ts:2018-12-13 15:38:01; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF2,0xFF,0xAC,0x01]
ts:2018-12-13 15:39:39; id:0x00000281; DLC:8; data:[0xF6,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:39:59; id:0x00000381; DLC:8; data:[0xA6,0x01,0x88,0x00,0xC4,0x00,0x98,0x01]
ts:2018-12-13 15:41:41; id:0x00000201; DLC:8; data:[0xCC,0x40,0x39,0x02,0x0B,0x00,0xF6,0x00]
ts:2018-12-13 15:43:09; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF1,0xFF,0xAC,0x01]
ts:2018-12-13 15:44:47; id:0x00000281; DLC:8; data:[0xF4,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:45:07; id:0x00000381; DLC:8; data:[0xA6,0x01,0x88,0x00,0xC4,0x00,0x97,0x01]
ts:2018-12-13 15:46:49; id:0x00000201; DLC:8; data:[0xCD,0x40,0x3A,0x02,0x08,0x00,0xF6,0x00]
ts:2018-12-13 15:48:17; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF1,0xFF,0xAB,0x01]
ts:2018-12-13 15:49:55; id:0x00000281; DLC:8; data:[0xF5,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:50:15; id:0x00000381; DLC:8; data:[0xA6,0x01,0x87,0x00,0xC3,0x00,0x96,0x01]
ts:2018-12-13 15:51:57; id:0x00000201; DLC:8; data:[0xCC,0x40,0x39,0x02,0x07,0x00,0xF6,0x00]
ts:2018-12-13 15:53:25; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAB,0x01]
ts:2018-12-13 15:55:03; id:0x00000281; DLC:8; data:[0xF5,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 15:55:23; id:0x00000381; DLC:8; data:[0xA5,0x01,0x87,0x00,0xC4,0x00,0x96,0x01]
ts:2018-12-13 15:57:05; id:0x00000201; DLC:8; data:[0xCC,0x40,0x39,0x02,0x05,0x00,0xF5,0x00]
ts:2018-12-13 15:58:33; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAA,0x01]
ts:2018-12-13 16:00:11; id:0x00000281; DLC:8; data:[0xF4,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:00:31; id:0x00000381; DLC:8; data:[0xA4,0x01,0x87,0x00,0xC3,0x00,0x95,0x01]
ts:2018-12-13 16:02:13; id:0x00000201; DLC:8; data:[0xCD,0x40,0x37,0x02,0x03,0x00,0xF6,0x00]
ts:2018-12-13 16:03:41; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAD,0x01]
ts:2018-12-13 16:05:18; id:0x00000281; DLC:8; data:[0xF1,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:05:39; id:0x00000381; DLC:8; data:[0xA3,0x01,0x87,0x00,0xC3,0x00,0x94,0x01]
ts:2018-12-13 16:07:20; id:0x00000201; DLC:8; data:[0xCD,0x40,0x36,0x02,0x01,0x00,0xF4,0x00]
ts:2018-12-13 16:08:49; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAE,0x01]
ts:2018-12-13 16:10:26; id:0x00000281; DLC:8; data:[0xF3,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:10:47; id:0x00000381; DLC:8; data:[0xA2,0x01,0x86,0x00,0xC3,0x00,0x94,0x01]
ts:2018-12-13 16:12:28; id:0x00000201; DLC:8; data:[0xCD,0x40,0x35,0x02,0xFF,0xFF,0xF5,0x00]
ts:2018-12-13 16:13:57; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAD,0x01]
ts:2018-12-13 16:15:34; id:0x00000281; DLC:8; data:[0xF4,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:15:55; id:0x00000381; DLC:8; data:[0xA2,0x01,0x87,0x00,0xC3,0x00,0x94,0x01]
ts:2018-12-13 16:17:36; id:0x00000201; DLC:8; data:[0xCC,0x40,0x35,0x02,0xFC,0xFF,0xF5,0x00]
ts:2018-12-13 16:19:05; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAC,0x01]
ts:2018-12-13 16:20:42; id:0x00000281; DLC:8; data:[0xF3,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:21:03; id:0x00000381; DLC:8; data:[0xA1,0x01,0x86,0x00,0xC3,0x00,0x93,0x01]
ts:2018-12-13 16:22:44; id:0x00000201; DLC:8; data:[0xCC,0x40,0x35,0x02,0xFA,0xFF,0xF6,0x00]
ts:2018-12-13 16:24:13; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xAB,0x01]
ts:2018-12-13 16:25:50; id:0x00000281; DLC:8; data:[0xF5,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:26:10; id:0x00000381; DLC:8; data:[0xA1,0x01,0x85,0x00,0xC3,0x00,0x93,0x01]
ts:2018-12-13 16:27:52; id:0x00000201; DLC:8; data:[0xCC,0x40,0x34,0x02,0xF8,0xFF,0xF5,0x00]
ts:2018-12-13 16:29:21; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xEF,0xFF,0xAB,0x01]
ts:2018-12-13 16:30:58; id:0x00000281; DLC:8; data:[0xF3,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:31:18; id:0x00000381; DLC:8; data:[0xA0,0x01,0x85,0x00,0xC3,0x00,0x91,0x01]
ts:2018-12-13 16:33:00; id:0x00000201; DLC:8; data:[0xCC,0x40,0x34,0x02,0xF5,0xFF,0xF6,0x00]
ts:2018-12-13 16:34:28; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xEF,0xFF,0xAB,0x01]
ts:2018-12-13 16:36:06; id:0x00000281; DLC:8; data:[0xF3,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:36:26; id:0x00000381; DLC:8; data:[0xA0,0x01,0x86,0x00,0xC3,0x00,0x92,0x01]
ts:2018-12-13 16:38:08; id:0x00000201; DLC:8; data:[0xCC,0x40,0x33,0x02,0xF4,0xFF,0xF5,0x00]
ts:2018-12-13 16:39:36; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xEF,0xFF,0xA9,0x01]
ts:2018-12-13 16:41:14; id:0x00000281; DLC:8; data:[0xF4,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:41:34; id:0x00000381; DLC:8; data:[0x9F,0x01,0x84,0x00,0xC3,0x00,0x91,0x01]
ts:2018-12-13 16:43:16; id:0x00000201; DLC:8; data:[0xCC,0x40,0x33,0x02,0xF2,0xFF,0xF5,0x00]
ts:2018-12-13 16:44:44; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xEF,0xFF,0xA8,0x01]
ts:2018-12-13 16:46:22; id:0x00000281; DLC:8; data:[0xF3,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:46:42; id:0x00000381; DLC:8; data:[0x9F,0x01,0x83,0x00,0xC3,0x00,0x90,0x01]
ts:2018-12-13 16:48:24; id:0x00000201; DLC:8; data:[0xCB,0x40,0x33,0x02,0xF1,0xFF,0xF6,0x00]
ts:2018-12-13 16:49:52; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xEF,0xFF,0xA8,0x01]
ts:2018-12-13 16:51:30; id:0x00000281; DLC:8; data:[0xF3,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
ts:2018-12-13 16:51:50; id:0x00000381; DLC:8; data:[0x9E,0x01,0x84,0x00,0xC3,0x00,0x92,0x01]
ts:2018-12-13 16:53:32; id:0x00000201; DLC:8; data:[0xCC,0x40,0x32,0x02,0xF0,0xFF,0xF6,0x00]
ts:2018-12-13 16:55:00; id:0x00000301; DLC:8; data:[0x00,0x00,0xED,0x23,0xF0,0xFF,0xA7,0x01]
ts:2018-12-13 16:56:38; id:0x00000281; DLC:8; data:[0xF4,0x00,0x00,0x00,0x1D,0x00,0x16,0x04]
